O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Fe AlO1.5 ,Fe CaO ,Fe KO0.5 ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Al $a$ ,Al Al ,Ca $a$ ,Ca $b$ ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K K ,K SiO2 ,Mg $a$ ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Th $a$ ,Th $b$ ,U $a$ ,U $b$
1.672860045709567700e-02,-2.464799917881550437e-02,5.390684181926139185e-02,5.873111708840526163e-02,-7.536932644756143967e-03,3.237421840862669126e-02,2.033474209229641644e-02,8.218948454495793657e-03,-2.151493014210836049e-03,-2.830979382842046393e-02,1.000000000000000000e+00,5.801723688176751298e-02,3.224140163871197333e-03,7.265267143600042180e-03,-4.047394948259458967e-03,2.814995963059172546e-01,1.446575162501920198e-03,3.555103568664241265e-01,-7.700465449260549544e-01,5.062119052692288790e-01,8.993963485115658019e-01,4.961750906322546784e-01,4.853870388300764449e-01,1.049564480441926295e-01,-6.327170029347940761e-02,6.034960694863955588e-02,1.251108330248558720e-01,1.906295242668542278e-01,1.237378082706627330e-01,-9.163840254477173194e-03,1.393959160342540284e-02,5.922071779788048475e-03,-2.642327265796327179e-02,-4.687217520635009529e-03,-1.168317666802335002e-05,4.602989055954741920e-02,-2.185363736089977402e-02,-5.736069216820835481e-02,4.259280362863826497e-02,-9.280226029876081570e-03,-9.762233539433984829e-04,2.055859806453411154e-03,1.154242505421906873e-02,-1.567514652441821810e-02,-2.905825864666493905e-04,2.315883096407056300e-03
9.337252223151940034e-02,-1.664492324001849155e-01,2.278874761770829926e-02,3.463495963192339544e-02,-3.464758796521603956e-02,-2.049030176215833540e-02,3.572529191786612268e-02,5.980361745451599070e-02,-4.004272448360869652e-02,-6.032310881480281058e-03,5.801723688177466698e-02,1.000000000000000222e+00,-3.089347866089550698e-01,1.261108586399152520e-01,7.820551964047911531e-02,1.787953707312624763e-01,2.102824398541909556e-02,-6.323071579867266256e-02,2.587987018606332720e-02,-9.779562658703887246e-02,3.657058614965257720e-02,1.374356261378911204e-01,6.579005273600296855e-02,-4.733737730164469526e-01,-3.931666478480173033e-01,-1.199483440736955620e-01,7.813120617326052564e-01,5.457086440248744286e-02,-5.042907607502501027e-02,-5.934482252700059440e-02,2.651971370877223011e-01,5.407729936917000241e-02,-4.263905981582100102e-02,2.241608951249053350e-01,-1.852332884467073129e-02,-3.547800275591351249e-01,1.241044722596305536e-02,8.788130646829794834e-02,-6.303023526086704020e-02,5.701221672482387898e-02,7.485862335898828268e-02,6.589643326906946541e-02,9.923066803301669458e-02,-8.605719237885189887e-02,2.819080652418539182e-02,-1.293774892850785112e-02
1.377435332871478624e-01,-3.546359057228861689e-01,-7.681572681334612220e-03,1.118583911451903473e-01,-1.615495673328063916e-02,6.371434012872374819e-02,2.255184018653221267e-01,-1.532512266753134067e-01,-7.044609117169779722e-02,3.499239506244253284e-01,3.224140163824947870e-03,-3.089347866089945938e-01,1.000000000000000000e+00,3.607246738353347970e-01,-1.663898953215905974e-01,2.036856000973131520e-01,-1.158545815947062962e-01,-2.763429310897240823e-02,7.964328360980690857e-02,1.344189443451608568e-01,-9.978370099681312111e-02,-1.124581247845838211e-01,-1.149179973885578777e-02,1.755125025987488291e-02,4.330164273466577951e-01,2.396290575955448404e-03,-3.700160523162368542e-01,1.351966463963189258e-01,-3.108267606133193750e-01,1.660333244440886750e-03,-3.534678723723146954e-01,-4.392180254461864469e-02,7.313072205095055844e-02,-4.403646106195383547e-01,7.382284041291758449e-03,5.081371897004215432e-01,-1.928074762103677287e-01,4.588433202810991429e-01,2.727859330024689360e-02,-3.415987463065187635e-01,-3.121776101152815008e-01,-2.060770561261671130e-01,-2.028764646201697552e-01,3.163955570956620833e-01,-1.224436949342335157e-01,2.099320512488587753e-01
2.113280797104720721e-01,-6.131379648207780919e-01,-4.202694407294761680e-02,1.543898458389984796e-01,-8.996304510140594804e-03,5.257140975613921324e-02,1.439474468133373763e-01,-5.117486996346012505e-06,3.235099576523019216e-02,1.695707806757905667e-01,7.265267143584789623e-03,1.261108586398883569e-01,3.607246738353654392e-01,1.000000000000000000e+00,-9.197359283391658147e-02,5.379639204942106012e-01,-5.328648381921474719e-02,-8.670243789250804689e-02,1.487026863624744677e-01,-5.677529837973766674e-02,-1.169218127393596984e-01,5.397451670075886776e-02,4.780654091791251836e-02,-1.074124968855169754e-01,3.415120914000306929e-01,-1.246357044307184331e-02,-9.718635775965624168e-02,8.806959691286685155e-02,-1.382086239011220408e-01,-2.887496969623146864e-02,1.398415175443530958e-02,3.275136905043543600e-02,-7.147086353943596197e-03,-2.084646814728648850e-02,6.340796842486401278e-04,-4.148877863032710694e-02,-2.882847593032153433e-01,7.181914615456819195e-01,-9.405734641282544051e-02,-4.382403540070954617e-02,-1.156864397980143927e-01,-6.145974354648478521e-02,-2.528924156879946983e-02,2.103537813687257341e-01,-2.254087979452954176e-03,1.845458678750048209e-01
2.577769270003832727e-02,-7.663985790835429156e-03,7.255847403561347265e-04,1.573489600670345892e-02,1.972045183289279603e-04,-1.390620867743361071e-02,-3.628032094908439226e-02,-3.784704667130131539e-01,-3.445357858666680401e-02,-4.397112537565184276e-02,-4.047394948255700689e-03,7.820551964047522953e-02,-1.663898953215728060e-01,-9.197359283390323104e-02,9.999999999999998890e-01,-4.208113827144231885e-03,3.484645384415240282e-03,4.733138661018863186e-02,-9.393315627489090547e-02,1.395264924825455888e-01,1.291527162531797834e-01,2.625966877885242412e-01,2.241828167195900889e-01,-1.503680457876454754e-02,2.319682290219284362e-02,3.054880963455225158e-03,-4.173054158914103751e-02,3.943547985776617304e-02,-7.791017365823170449e-02,3.970488692061707042e-02,-4.756010454831655077e-02,-1.175846365865544987e-02,4.758814135297199932e-02,2.833260350139148870e-02,6.853407815864777375e-03,1.073192622558182159e-02,4.099509111747650508e-02,-2.505300957292845229e-02,-8.938832500471549647e-02,1.316410211276149433e-01,-4.446625536558436731e-01,6.560517449562631130e-03,-4.009880576533834118e-01,2.724707521170012248e-01,-5.243808392269510427e-02,7.188895531565061767e-03
1.268039676833815077e-01,-3.901480982977491019e-01,-3.241258666851377229e-02,7.718275264294031102e-01,-8.758167395537754321e-03,5.151496016879739820e-02,1.078525109269104082e-01,-1.512788822862555851e-02,3.419673968293964784e-03,1.594205233593608273e-01,2.814995963059019335e-01,1.787953707312457674e-01,2.036856000973468472e-01,5.379639204942208153e-01,-4.208113827157944874e-03,9.999999999999998890e-01,-1.316059569298226872e-01,3.379860678398811935e-02,-1.080450594459852615e-01,1.039362178330194564e-01,1.590716372868561101e-01,1.902921876963183656e-01,1.796777169534286567e-01,-8.363630577360930962e-02,1.774493865179643526e-01,-9.272885008770704457e-03,-1.113280509619188124e-03,1.499449602397421866e-01,-1.834753244434377817e-01,-2.785399360241952102e-02,2.630516470773512291e-02,3.606498216251898675e-02,-5.408468578036575679e-03,5.529701404183718760e-04,-1.602204951225996276e-03,-6.720810637180461844e-02,-1.426393557533115752e-01,4.403135848202666680e-01,-6.843116988622574559e-02,-4.325990623539261587e-02,-8.504621026795822214e-02,-3.800802102603232507e-02,-2.410855498847483749e-02,1.276832561677929134e-01,-7.188197150853830632e-03,1.051572929833985426e-01
-2.181111321892851770e-02,9.407252091650326886e-02,-1.327023340465587672e-03,-4.602114566954583208e-01,2.393721028926234715e-02,-9.132839652463642377e-03,-4.503158213509485253e-02,2.286929967651312595e-02,1.666590196298247187e-02,-3.195377702476053794e-01,1.446575162508771922e-03,2.102824398542076090e-02,-1.158545815947160523e-01,-5.328648381922968663e-02,3.484645384426859026e-03,-1.316059569298290433e-01,1.000000000000000000e+00,1.918035607504981008e-03,-6.500838915757434396e-03,-1.906143265019521679e-02,-1.173057243686527907e-03,-3.224280731009282475e-02,-3.967710866445102458e-02,8.533143559499827956e-04,-4.841359151365506874e-02,3.100291980178725149e-02,4.086395252015486562e-02,-6.126722142931555898e-02,1.582374266560600540e-01,3.138867385784814557e-02,-1.671534339288635596e-02,-2.841726343261172585e-02,4.007268126274898118e-03,1.799591464775013652e-02,4.411955355618180259e-03,4.507895978651056679e-02,6.444523889361451763e-02,-1.526728405763073115e-01,-5.255078794150772059e-02,7.934825394371622376e-02,4.137122224081469374e-02,3.759944613373260996e-02,1.827744064384153114e-02,-4.189197863077193801e-02,1.066413178217921406e-02,-2.281432711692357382e-02
-2.014059970637451305e-02,7.663219828741563155e-02,2.580999952041751477e-02,2.384696845653334635e-03,2.414247170618137681e-03,3.777632284241478830e-03,-1.745373448639017666e-02,-3.000538947037545770e-02,2.494677710461062100e-04,-2.802710154379554897e-02,3.555103568664072511e-01,-6.323071579867549363e-02,-2.763429310894651228e-02,-8.670243789249068578e-02,4.733138661018580773e-02,3.379860678399793095e-02,1.918035607495664242e-03,9.999999999999998890e-01,-8.299559777342215838e-01,1.995133065065734790e-01,3.992553223119054140e-01,1.507201183308599646e-01,1.762381242330259279e-01,8.948052380882733081e-02,-5.329045409602101852e-02,3.382580096836024924e-02,3.129191047187541985e-02,4.808041805823650566e-02,1.220788019503858818e-01,5.141582229273327330e-03,-3.233017566147657323e-03,-9.282713444381912940e-03,-7.717506230619000304e-03,2.914634968003292689e-03,1.595628833020300069e-03,5.012796701832826496e-02,9.001004488804271314e-03,-1.235786035309598407e-01,3.518382763671152463e-02,5.068102729633554640e-03,-9.620326416879841636e-03,4.494100843741502017e-03,-3.117589667872548362e-02,5.443502015744831890e-03,-2.259691138784429999e-03,-1.420001214136670450e-02
2.964256487182454977e-02,-1.269671486969402574e-01,-5.483189370178378347e-02,-1.322366043621538145e-02,-8.099660732280227838e-04,-7.500247675981818948e-03,2.903599207920836908e-02,3.568797555291507856e-02,3.053282194877415898e-03,5.832895296388703604e-02,-7.700465449260517348e-01,2.587987018606566561e-02,7.964328360976605237e-02,1.487026863624535677e-01,-9.393315627488989239e-02,-1.080450594460040104e-01,-6.500838915745560213e-03,-8.299559777342359057e-01,1.000000000000000000e+00,-4.489044397722221080e-01,-8.367774275788792959e-01,-3.626711266601402306e-01,-3.825179197824761790e-01,-1.363372417800661207e-01,1.367502295294381054e-01,-5.923650586296318882e-02,-1.357169061930348364e-01,-1.122172322269196637e-01,-2.361281058614231876e-01,-1.092205562643641659e-02,-6.975419601529920556e-03,1.975456517569607745e-02,1.144027486753835567e-02,-2.062740019974515851e-02,-1.447464020698335059e-03,-7.139185087696062193e-02,-1.594528422393101663e-02,2.283383035358496904e-01,-6.411266224933800939e-02,-1.811563512317290736e-02,1.512446327653434522e-02,-1.508621983193291112e-02,3.271523981152698463e-02,1.603903722186314842e-02,1.830629013225243667e-03,2.691813440381532127e-02
-2.612362172797618939e-02,4.244869911598358331e-02,2.338552097156003026e-02,3.462814031034541079e-02,-2.642901026551815885e-03,-2.331134781083515472e-03,2.332852561866660516e-04,-5.834455184413857992e-02,-1.711367274065301453e-02,3.272675439414970272e-02,5.062119052692274357e-01,-9.779562658704955835e-02,1.344189443451591914e-01,-5.677529837977345756e-02,1.395264924825420638e-01,1.039362178330050512e-01,-1.906143265019652477e-02,1.995133065065871625e-01,-4.489044397722293245e-01,9.999999999999998890e-01,5.361941722305088032e-01,2.529110823271238928e-01,2.835628431971134455e-01,9.311000755926555905e-02,5.134976935754282518e-02,4.204454615419040558e-02,-4.966273965159281878e-02,9.404775586820045274e-02,5.794011127118103149e-02,1.500031167219972872e-01,-2.956912033206811619e-01,-1.693814279022783920e-01,1.939136891998445300e-01,-1.525230211597149166e-01,3.438856375698930851e-03,2.335169422855819521e-01,-7.930402174143758032e-03,-6.987888803397082627e-02,3.373407742982114516e-02,1.820667593695426967e-02,-1.008291024926493834e-01,-3.500904961638676149e-02,-6.554890812723219995e-02,4.065202416560214499e-02,-2.871462646496634324e-02,1.660364634448536700e-02
