O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Fe AlO1.5 ,Fe CaO ,Fe KO0.5 ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Al $a$ ,Al Al ,Ca $a$ ,Ca $b$ ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K K ,K SiO2 ,Mg $a$ ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Th $a$ ,Th $b$ ,U $a$ ,U $b$
3.689136145533348099e+02,-1.728123590599896153e+06,5.475671134102961332e+03,2.170248348372230612e+04,-2.597833745688638373e+03,5.268742964821307396e+03,2.065742082275793564e+03,1.552915315762416503e+04,-1.124273322765982357e+03,-6.532320251215780526e+07,9.912598376065996170e+09,1.399176019522740543e+08,6.590934028334999457e+06,9.345445404184184968e+06,-4.713118366078860313e+07,6.007750388656480936e+03,4.930165494848281924e+03,3.148664591433541864e+04,-4.489552999712563753e+08,5.763308942573143005e+09,1.439441358948007011e+10,1.277625178680060577e+10,9.798285914859247208e+09,2.309736133431518738e+03,-4.713881355206056498e+06,5.806866638053356437e+05,4.913184454244171381e+08,2.830930385823216056e+03,2.387867321783880293e+08,-4.067914036196495431e+02,1.559767305279214634e+06,8.523471622506678614e+03,-2.922035919369138810e+03,-3.835970379371623267e+02,-2.374489676960296780e+00,1.134335296820760965e+08,-7.711691193238978030e+02,-7.743895174514540471e+06,5.501026144452861627e+04,-1.919861223863362909e+02,-1.360583195192612607e+02,2.007898846886250226e+02,1.723880054460021938e+03,-5.155279321784984320e+06,-1.955050710571937245e+01,3.528111280688065453e+05
5.009702844422014323e+02,-2.839244061146625318e+06,5.631728733955656026e+02,3.113749423934550578e+03,-2.905477571297275063e+03,-8.113044825208926341e+02,8.829599721334889182e+02,2.749076166417736749e+04,-5.090768940157680845e+03,-3.386431367834352888e+06,1.399176019522913098e+08,5.867365099427829981e+08,-1.536482668043777049e+08,3.946650792100249231e+07,2.215633734844907224e+08,9.283637525522320857e+02,1.743617834668184514e+04,-1.362479707285027644e+03,3.670929307424740400e+06,-2.708861375127611756e+08,1.423975704497292638e+08,8.609850908412803411e+08,3.231096796244973540e+08,-2.534458810307753083e+03,-7.126456084326265380e+06,-2.807950608062456595e+05,7.464839656227514744e+08,1.971640181392135673e+02,-2.367645000581780449e+07,-6.409215785741790796e+02,7.219487941344190389e+06,1.893588679844294893e+04,-1.147187392319734954e+03,4.463214816927909851e+03,-9.159171270107557348e+02,-2.127102746333985031e+08,1.065469768879535337e+02,2.886485553408291657e+06,-1.980542701830409715e+04,2.869505171756373443e+02,2.538315181534567273e+03,1.565806329637971658e+03,3.605651083270869549e+03,-6.885818425204435363e+06,4.614490370122790637e+02,-4.795260028911944246e+05
6.264433937036917541e+02,-5.127685409493161365e+06,-1.609122665723207035e+02,8.524232409303225722e+03,-1.148333565885013968e+03,2.138407405749630470e+03,4.724599002749326246e+03,-5.971466721603269252e+04,-7.591619039318089563e+03,1.665136999302732944e+08,6.590934028240454383e+06,-1.536482668043973744e+08,4.215786330253702998e+08,9.569071653624734282e+07,-3.995813874313981533e+08,8.964786913652260409e+02,-8.142902735975298856e+04,-5.047403716382355583e+02,9.575926939158631489e+06,3.156062293108208179e+08,-3.293426725038614273e+08,-5.971794881853194237e+08,-4.784047933368698508e+07,7.965386302452284895e+01,6.653023462602400221e+06,4.755020858040237727e+03,-2.996637838673064709e+08,4.140478036498523693e+02,-1.237005742442058176e+08,1.519970156839653619e+01,-8.156526448202885687e+06,-1.303672631046253809e+04,1.667801445382489874e+03,-7.432211965478747516e+03,3.094180419001143036e+02,2.582426832636515796e+08,-1.403121594354911394e+03,1.277482726063024625e+07,7.265658684158232063e+03,-1.457380960765805412e+03,-8.972701118878228954e+03,-4.150720754468455198e+03,-6.248664251119724213e+03,2.145934731505243108e+07,-1.698910141005043670e+03,6.595533517768668942e+06
6.047601795565273051e+02,-5.578433269039566629e+06,-5.539648209577793523e+02,7.403222684711236980e+03,-4.023849911935628825e+02,1.110243525783445875e+03,1.897589640864535568e+03,-1.254726789365609108e+00,2.193716614821221810e+03,5.077415302136298269e+07,9.345445404164565727e+06,3.946650792099408060e+07,9.569071653625547886e+07,1.669203640064386129e+08,-1.389814440813164413e+08,1.489869261717868085e+03,-2.356668320243657581e+04,-9.964748876653846992e+02,1.125034516133975983e+07,-8.388028113924777508e+07,-2.428283021252378523e+08,1.803508414589778781e+08,1.252305131580980718e+08,-3.067389751627490000e+02,3.301688774282563012e+06,-1.556219257031172310e+04,-4.952612689263552427e+07,1.697172323206707460e+02,-3.461017714843571186e+07,-1.663323411554715676e+02,2.030517782085775689e+05,6.116925873851842880e+03,-1.025625664587142865e+02,-2.213877208928435039e+02,1.672299604072666313e+01,-1.326762109459842928e+07,-1.320105035959271618e+03,1.258189991268613003e+07,-1.576380701268783014e+04,-1.176480017553746364e+02,-2.092277438744045867e+03,-7.789327868322324093e+02,-4.901248165834118709e+02,8.977425746284306049e+06,-1.967977872343531587e+01,3.648302777091360185e+06
6.678122287739766989e+02,-6.312379052321464987e+05,8.658184964770480008e+01,6.830465484323930468e+03,7.985071921394417416e+01,-2.658653336174730612e+03,-4.329660063315302068e+03,-8.400570160594556946e+05,-2.115005757264415297e+04,-1.191910357170537412e+08,-4.713118366074483842e+07,2.215633734844796956e+08,-3.995813874313554168e+08,-1.389814440812962651e+08,1.367974533932212257e+10,-1.055034918416991729e+02,1.395161019082752864e+04,4.924573477650154018e+03,-6.433544255934952945e+07,1.866128190868734837e+09,2.428240243490931034e+09,7.943337205995489120e+09,5.316300307201700211e+09,-3.887353634315089153e+02,2.030219057166569401e+06,3.453082459510222543e+04,-1.925162641846508384e+08,6.879730196689091599e+02,-1.766229753355731368e+08,2.070539268612151318e+03,-6.251695464689268731e+06,-1.988102103915573389e+04,6.182198395286762207e+03,2.723904465601201082e+03,1.636293361798156639e+03,3.106879671354099363e+07,1.699428923208373135e+03,-3.973289757081144955e+06,-1.356230576707513246e+05,3.199247038344119574e+03,-7.280340950764101581e+04,7.527169236083947226e+02,-7.035365603963795002e+04,1.052702692248210162e+08,-4.144579809841544375e+03,1.286568949085985310e+06
6.020665657601247459e-03,-5.889375098405812992e+01,-7.088490344899884936e-03,6.140560711621235734e-01,-6.499449218341184567e-03,1.805043537568075396e-02,2.358925809288805325e-02,-6.153984768073429701e-02,3.847363860166705569e-03,7.919934421101069120e+02,6.007750388656154428e+03,9.283637525521453426e+02,8.964786913653742886e+02,1.489869261717896507e+03,-1.055034918420429761e+02,4.594949018844731586e-02,-9.657008964198904311e-01,6.444949740345973059e-03,-1.356243383310055322e+02,2.547727930623339034e+03,5.481282698742030334e+03,1.054960154431455885e+04,7.809131692982135064e+03,-3.962731788906057387e-03,2.846362687834234606e+01,-1.921006674108500234e-01,-9.412811302787297052e+00,4.794214848754827472e-03,-7.623107264021538185e+02,-2.662124251431041005e-03,6.337199531226767490e+00,1.117571113151403367e-01,-1.287715277823097250e-03,9.743352403517416846e-05,-7.010903747888727047e-04,-3.565904896588372139e+02,-1.083706954224949830e-02,1.279834344645935289e+02,-1.902865267228203150e-01,-1.926830225062432485e-03,-2.551981189432479119e-02,-7.992270707487784606e-03,-7.752249745689168518e-03,9.041097127395308064e+01,-1.041250001466494969e-03,3.449146436605416000e+01
-1.653772971443445983e-01,2.267717197125541588e+03,-4.634522688610320101e-02,-5.846979650395878991e+01,2.836764205151368401e+00,-5.110301643706486319e-01,-1.572851124967700409e+00,1.485652935130703867e+01,2.994289390430810993e+00,-2.535046589626554924e+05,4.930165494871634110e+03,1.743617834668322394e+04,-8.142902735975984251e+04,-2.356668320244318238e+04,1.395161019087404748e+04,-9.657008964199371714e-01,1.171799955392123820e+03,5.840685097651544810e-02,-1.303132314543076063e+03,-7.461533068331939285e+04,-6.454982154125345005e+03,-2.854528185245359200e+05,-2.753816089385501691e+05,6.456472107728189642e-03,-1.240136320218438414e+03,1.025658978944868096e+02,5.517489401438641653e+04,-3.128240929993836295e-01,1.049904912802983454e+05,4.790713592033704615e-01,-6.430697026911782359e+02,-1.406235602924539307e+01,1.523632856324981799e-01,5.063689235189763327e-01,3.082999358871795215e-01,3.819516347466613661e+04,7.818973109252388420e-01,-7.086631519843374917e+03,-2.333563893828907254e+01,5.643930289252464538e-01,1.982472832648302985e+00,1.262591221130327845e+00,9.385520163785353587e-01,-4.737011604370269197e+03,2.466873775774222344e-01,-1.194995554333414930e+03
-3.968479167013083501e-03,4.800550520358881812e+01,2.342437956870333307e-02,7.873375832568191637e-03,7.435070373238877525e-03,5.493056089631347984e-03,-1.584208816218366650e-02,-5.065442820478489594e-01,1.164750873038149790e-03,-5.778240063978138323e+02,3.148664591433392343e+04,-1.362479707285088580e+03,-5.047403716377625642e+02,-9.964748876651850651e+02,4.924573477649860251e+03,6.444949740347844826e-03,5.840685097623173755e-02,7.913357306203017139e-01,-4.323423870634496780e+03,2.029542006216328446e+04,5.709265028282196727e+04,3.467578993284250464e+04,3.178691840705616778e+04,1.759415420250287979e-02,-3.547359436352689954e+01,2.908051730625666575e+00,1.097960875572799523e+03,6.379606526267814388e-03,2.104915490206671166e+03,2.039283828508439179e-03,-3.232246392617121877e+00,-1.193725384375631388e-01,-7.625398863576466658e-03,2.131233039244517964e-03,2.897529390605641832e-03,1.103743675738295451e+03,2.837941958866852313e-03,-1.490647644069697719e+02,4.060104371842642723e-01,9.367923271835292779e-04,-1.197987675153445140e-02,3.921730812669976460e-03,-4.160213007483802572e-02,1.599578700587890445e+01,-1.358389002102883616e-03,-1.932862633463533442e+01
3.844850600086315495e+01,-5.235800744004980079e+05,-3.275859966505993270e+02,-2.874031193587554185e+02,-1.642034069363886317e+01,-7.179297340737218747e+01,1.734893074291279049e+02,3.965993928494177908e+03,9.384205861069990817e+01,7.916141673635737039e+06,-4.489552999712545276e+08,3.670929307425071951e+06,9.575926939153719693e+06,1.125034516133817844e+07,-6.433544255934883654e+07,-1.356243383310290653e+02,-1.303132314540695916e+03,-4.323423870634571358e+03,3.429136255770520866e+07,-3.006021360061265230e+08,-7.876829213337154388e+08,-5.492626926345344782e+08,-4.541636106095293760e+08,-1.764681623045601100e+02,5.992331376029974781e+05,-3.352397090951537393e+04,-3.134734184672627226e+07,-9.801604952639304713e+01,-2.680118966544080153e+07,-2.851656801594505097e+01,-4.590697917815083201e+04,1.672279797057036376e+03,7.441046506619218803e+01,-9.928948245843713494e+01,-1.730277399029862906e+01,-1.034781750963127613e+07,-3.309457276800781500e+01,1.813102964905218687e+06,-4.870234893491326147e+03,-2.204263267876691756e+01,1.239808179356652715e+02,-8.666173551381680795e+01,2.873814326257605671e+02,3.102540811456694501e+05,7.244149401840773272e+00,2.411955078615709790e+05
-6.616837910740630377e+02,3.418295070001856890e+06,2.728302697388121942e+03,1.469678621831290911e+04,-1.046284170410541492e+03,-4.357397092514581800e+02,2.721928766889327633e+01,-1.266146212213270628e+05,-1.027134279456371951e+04,8.673327275010015070e+07,5.763308942573126793e+09,-2.708861375127907395e+08,3.156062293108168840e+08,-8.388028113930064440e+07,1.866128190868687868e+09,2.547727930622986150e+03,-7.461533068332451512e+04,2.029542006216467780e+04,-3.006021360061313510e+08,1.307650189513010979e+10,9.856369625399734497e+09,7.479772688762922287e+09,6.574508486799131393e+09,2.353431927294084289e+03,4.393996176589061506e+06,4.646533903390208143e+05,-2.240014669057745337e+08,1.604129768436322820e+03,1.284219124818423837e+08,7.647977031544941383e+03,-3.800145301726519316e+07,-2.800017060759604210e+05,2.462971850131663086e+04,-1.433664630618119372e+04,8.027409443584480186e+02,6.609550641049065590e+08,-3.214201843170837378e+02,-1.083535396049065143e+07,5.004127352595050615e+04,4.326074364075174685e+02,-1.614038338612603184e+04,-3.927178947853602040e+03,-1.124417195882035230e+04,1.535588327860849909e+07,-2.218930236009951386e+03,2.905234224949954078e+06
