O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Al $a$ ,Ca $a$ ,Ca $b$ ,Ca Ca ,K $a$ ,K $b$ ,K K ,K Si ,Mg $a$ ,Mg $b$ ,S $a$ ,S $c$ ,S S ,S Si ,S U ,Si $a$ ,Si $b$ ,Si $c$ ,Si Th ,Th $a$ ,Th $c$ ,Th Th ,U $a$ ,U $b$
6.553363045622236651e-06,-1.162183569013535735e-02,1.060202674684106107e-04,-1.023633821170371857e-04,-1.862376822096383817e-06,7.719983440806283054e-05,-1.747296144877945852e-05,4.166557848059270744e-05,-1.480384807699239137e-06,-2.220965165138102527e-06,1.012937248358508624e+00,-3.786092490787199495e+03,1.310206320259167114e+02,-5.611572148221376254e-06,1.733751450414808618e-02,4.662502147505532754e-03,5.973185589566170341e-06,-8.298203765095128859e-08,1.805759341089896469e-05,4.412677245742760389e-07,-2.200733435174673388e-04,9.935467811206443279e-08,-8.065408779631695653e-06,-3.142586652017193455e-07,-7.368855401756484254e-07,-7.547263032457835700e-04,2.916342863203718510e-04,7.061026999943036044e-09,6.957050099561502738e-08,-3.385341510879845932e-05,-1.807985428707659450e-02,-1.751097133405257493e-07,3.451126231455524233e-04
-1.140877389829375935e-02,2.023226116273166397e+01,-1.845855235277487905e-01,1.782220395648356215e-01,3.248668874305322279e-03,-1.344030798345834110e-01,3.042137899809283300e-02,-7.254462913924963896e-02,2.549823575298708084e-03,3.866834895955799552e-03,-3.786092490787199949e+03,1.458593583392770775e+07,-2.281201919371199328e+05,9.770620200798933730e-03,-3.018678198838621185e+01,-8.117378173589452572e+00,-1.040388530769800063e-02,1.447480129904138294e-04,-3.148670663978003770e-02,-7.682570620945754127e-04,3.831977214648976671e-01,-1.718414951434282627e-04,1.404339341444809514e-02,5.520176946325875854e-04,1.283197803497208682e-03,1.313650317016815672e+00,-5.077686899281359523e-01,-1.226186376936007078e-05,-1.211299399144675853e-04,5.894678792913109894e-02,3.147892891222446821e+01,3.018565191039225310e-04,-5.945734971485894249e-01
1.368006365279095249e-02,-2.426062152482190371e+01,2.213032045232656564e-01,-2.136710702007360574e-01,-3.883263480407650372e-03,1.611535311284615080e-01,-3.647349466481428215e-02,8.696760943757310403e-02,-3.122464026773895743e-03,-4.636087909570717897e-03,1.310206320259161714e+02,-2.281201919371178083e+05,2.734822935380694107e+05,-1.171292481712141870e-02,3.618883454395044907e+01,9.732644225236454005e+00,1.246553034309739322e-02,-1.730289226248945449e-04,3.766046777234684922e-02,9.210324148780777613e-04,-4.593312902852269564e-01,2.063993913006449221e-04,-1.683448452349805419e-02,-6.567610972017698086e-04,-1.537929708942041953e-03,-1.575710794578164986e+00,6.087278736737036233e-01,1.472108129692323742e-05,1.452118813507411301e-04,-7.066424217603121949e-02,-3.773851871484581011e+01,-3.692118587056248216e-04,7.278469724898777304e-01
-2.247104618563290634e-03,3.533899313270477904e+00,-8.837134835297223712e-03,1.560533568409251106e-03,-4.478316621287705725e-03,-4.394725172683510567e-02,-4.912971513229600663e-03,2.167883991374075503e-03,-1.644232337329985534e-04,-9.540929470589897422e-05,-5.611572148221234800e-06,9.770620200798366475e-03,-1.171292481712098675e-02,5.394919698879616088e-02,-1.279675139507458113e+02,6.334949077275481955e+00,-5.602038665229976816e-02,-1.972405389304271971e-04,3.431809908189263625e-02,4.184379711373673055e-05,-1.379206662134442318e-01,-3.602912816806969065e-03,-2.277500840407733432e-04,1.003973499277866349e-05,-9.504334752608853193e-04,1.988361695051791944e+00,-1.969193241262217828e-03,-7.457904900960001329e-05,1.099258437133620999e-05,-2.043540245883165851e-02,-3.719929886386298401e-01,-1.843362034930840556e-05,3.773835011687275837e-02
5.052041064121946867e+00,-8.109894899749352589e+03,2.092588132997295247e+01,-1.749687149542079379e+00,1.177557135529918320e+01,8.908166805768861707e+01,1.119989004197800320e+01,-5.071674844268768467e+00,5.862301233071247619e-01,2.717399068262018602e-01,1.733751450414805842e-02,-3.018678198838528104e+01,3.618883454395012933e+01,-1.279675139507455697e+02,3.655434033152170014e+05,2.709441353386197079e+03,2.727193139984645995e+02,5.186361425555384708e-01,-9.023556551515353874e+01,-1.391609135700179467e-01,2.742132251450682361e+02,5.530724566087636518e+00,2.378367046834946874e-01,3.143202476958975242e-03,1.886022688904618549e+00,-3.960607722349550841e+03,1.191320731868195004e+01,9.975028947796413248e-02,-2.856934244247126900e-02,3.905979148191537575e+01,6.100124270675958087e+02,6.665179194961526332e-02,-1.351638927256477132e+02
3.272983094913550772e-01,-6.468840063489068370e+02,2.129317599132825922e+00,1.196676952728709109e+00,1.806649563932191782e+00,-1.206991207504052088e+00,7.396637500199578774e-01,-6.267748962724902784e-01,2.017617913142758790e-01,6.085778066225363409e-02,4.662502147505550969e-03,-8.117378173589468560e+00,9.732644225236610325e+00,6.334949077275502383e+00,2.709441353386106584e+03,1.314809054494135489e+04,1.435428265205101361e+01,7.957050958441042043e-02,-1.384240386630537678e+01,-2.625456632465323487e-02,-7.267867540800088122e+00,-1.079053843413150915e+00,-1.050718907291567639e-01,1.866529512310296721e-02,-2.433056829002338758e-02,3.088099520926731145e+01,4.081327579143377626e+00,-2.967511455747171012e-02,-2.476030653879142829e-03,-2.517028359055097031e+00,-9.079355072452695197e+01,2.335919879644633712e-02,-4.679621847524347089e+01
7.088063541967890620e-04,-1.340490911545277442e+00,4.643691108921862987e-03,1.784764752142487063e-03,5.074235667170255530e-03,-2.333014649035337201e-03,3.196183396941967587e-03,1.480646857257931267e-03,3.554828308399230743e-04,1.011970643965318627e-04,5.973185589565995853e-06,-1.040388530769713500e-02,1.246553034309684505e-02,-5.602038665229937958e-02,2.727193139984639174e+02,1.435428265205100828e+01,1.612686883872052057e+00,2.234861170686279117e-04,-3.888331151126628304e-02,-8.243134837325150836e-05,-1.816932427479689416e-02,-3.462335403933533735e-03,1.548536942859056931e-04,3.451561397694646383e-05,-3.757054454739701529e-04,9.043374610839113314e-01,3.579346252972757936e-02,-1.186012921422406000e-04,-2.165328382764713968e-05,3.617308871520349012e-03,-3.892560163889465796e-01,4.119207864641655611e-05,-8.246912967741490408e-02
5.091217228371489349e-04,-1.246367918021692001e+00,-2.135131701808652607e-03,-3.368833040945082725e-03,4.385491718300990049e-01,7.152025746567700461e-04,-1.646538390746786614e-03,4.609825882955172937e-05,-5.929812674084531483e-04,-5.405216079905099180e-05,-8.298203765095270472e-08,1.447480129904164044e-04,-1.730289226248977704e-04,-1.972405389304052420e-04,5.186361425554814053e-01,7.957050958441139188e-02,2.234861170685920517e-04,3.592374477144827383e-01,-1.306884873925136390e+03,2.135574299372453328e-05,-9.022594265138286426e-03,2.379040504828295368e-05,8.140899119977803460e-05,3.074189610605416990e-05,7.232403983895207753e-05,-1.991417773240939937e-01,3.810080956213484672e-03,5.220199145156525105e-06,6.897648800631809527e-07,-1.043627912977513781e-03,-1.318746875538139518e+00,-6.661072489534603425e-05,1.361882227996175088e-01
-8.857343836630807155e-02,2.168372991976910669e+02,3.715297291266336788e-01,5.861225480995864157e-01,-7.630183978739798079e+01,-1.244517493363486854e-01,2.864818157398113518e-01,-7.993950631853607297e-03,1.031973886683292957e-01,9.403971744663555329e-03,1.805759341090256288e-05,-3.148670663978631046e-02,3.766046777235450976e-02,3.431809908190043557e-02,-9.023556551514438695e+01,-1.384240386628785480e+01,-3.888331151123849971e-02,-1.306884873925137299e+03,5.071752527817615308e+06,-3.715536186734998744e-03,1.569763337967819083e+00,-4.135439037552632313e-03,-1.416617033510267180e-02,-5.338238673102338981e-03,-1.258350730059130430e-02,3.464799491923086805e+01,-6.628717228544251938e-01,-9.075508335765265127e-04,-1.194924237274897416e-04,1.812839355034283617e-01,2.294273474823327774e+02,1.159264274318367628e-02,-2.370121926638010024e+01
-9.491270620442287176e-04,1.293148584610297691e+00,-5.690342715795641219e-04,2.279144325612133051e-03,4.848802182009985355e-04,-2.617665253047225804e-02,-2.407551835835936016e-03,2.442317733418084696e-02,3.039598253137181590e-04,7.632306170464495489e-05,4.412677245742637040e-07,-7.682570620945501508e-04,9.210324148780536921e-04,4.184379711386576416e-05,-1.391609135703338607e-01,-2.625456632462190576e-02,-8.243134837346405264e-05,2.135574299372168048e-05,-3.715536186735254182e-03,7.798491820272197665e-03,-4.918939040816884822e-01,4.056778535223175969e-02,3.673946722062172016e-02,-9.627373824425526920e-05,2.297979706332657635e-03,-3.930238457823861609e+00,-5.808943076176088099e-02,1.005683159429059635e-03,8.367688661927855434e-05,1.112894516515492149e-01,2.418554534966498526e+00,3.222445972882930030e-05,-6.854512692791783768e-02
