O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Al $a$ ,Ca $a$ ,Ca $b$ ,Ca Ca ,K $a$ ,K $b$ ,K K ,K Si ,Mg $a$ ,Mg $b$ ,S $a$ ,S $c$ ,S S ,S Si ,S U ,Si $a$ ,Si $b$ ,Si $c$ ,Si Th ,Th $a$ ,Th $c$ ,Th Th ,U $a$ ,U $b$
2.481943359790900921e-05,-1.916278389099281446e-05,8.744711241204788249e-05,-2.618373121782663107e-05,-5.864184133747642150e-07,3.387552347084326124e-05,-1.426474108895900811e-05,1.558508956136770697e-06,-2.590043599322572860e-07,-1.111022131013596357e-05,1.000000000000000222e+00,-9.849922173296370431e-01,2.489337678260726827e-01,-2.400494901310389975e-05,2.849220701672591631e-05,4.040140151623411479e-05,4.673472709479058349e-06,-1.375631218091400958e-07,7.966903782654151837e-09,4.964843712416532315e-06,-1.986898720945930142e-05,9.035512117763451493e-08,-9.967823753864875450e-06,-1.372894783018385955e-07,-1.933705512171792993e-06,-9.903816123836357034e-07,2.102716513902389554e-05,5.383947644110678641e-09,3.346842560624283498e-07,-3.511378517580901397e-07,-5.141893147645102491e-06,-2.391622587532565704e-07,2.273494334005631667e-07
-1.138651265505783373e-05,8.791286115752954412e-06,-4.012160858844915102e-05,1.201357982320449813e-05,2.695687900965563058e-07,-1.554185984785027533e-05,6.544860479037639716e-06,-7.150909351356488158e-07,1.175619304644689698e-07,5.097540837734611045e-06,-9.849922173296371541e-01,1.000000000000000000e+00,-1.142173217412815606e-01,1.101444174182490554e-05,-1.307314847023342036e-05,-1.853605404150923019e-05,-2.145128829581268610e-06,6.323458319349459797e-08,-3.660842640539618014e-09,-2.277897097967367305e-06,9.117070813998319202e-06,-4.118287068280164689e-08,4.573726073877478663e-06,6.355169140814228599e-08,8.873767174083302298e-07,4.542730564103387308e-07,-9.647886458569019150e-06,-2.463846027073640777e-09,-1.535627127521574991e-07,1.611237004770927412e-07,2.359240362947016595e-06,1.086443361052267752e-07,-1.032197254868668508e-07
9.971085050335079015e-05,-7.698612447920070794e-05,3.512941716480087284e-04,-1.051863285936468996e-04,-2.353225593652638632e-06,1.360931092554448600e-04,-5.730617418642579123e-05,6.260601816301715314e-06,-1.051372378246151554e-06,-4.463332997556026068e-05,2.489337678260716558e-01,-1.142173217412805059e-01,1.000000000000000222e+00,-9.642913178708574170e-05,1.144565140778735216e-04,1.623061209103854373e-04,1.877029622702513280e-05,-5.520307827144375941e-07,3.197732096736509323e-08,1.994366625307977402e-05,-7.981067498834604266e-05,3.612430731685281643e-07,-4.004058864741153178e-05,-5.521843287469423347e-07,-7.767002613651079898e-06,-3.979387732881669328e-06,8.446795836088942923e-05,2.160226706996656874e-08,1.344432394853300122e-06,-1.410592372517331469e-06,-2.065568657442361057e-05,-9.704758109679409579e-07,9.227834043653141084e-07
-3.687650121996192271e-02,2.524857201578484603e-02,-3.158397865759664941e-02,1.729652269589103354e-03,-6.110174512274060311e-03,-8.356032990327812160e-02,-1.737962490635418938e-02,3.513716379849668382e-04,-1.246506131005069079e-04,-2.068094725097664125e-03,-2.400494901310329667e-05,1.101444174182426688e-05,-9.642913178708219094e-05,9.999999999999998890e-01,-9.112504694399173877e-01,2.378588378916347279e-01,-1.899234464881935924e-01,-1.416814154694930224e-03,6.560723036453907351e-05,2.040014643274625991e-03,-5.395558594957772930e-02,-1.419766692942141077e-02,-1.219638965840587298e-03,1.900513771683449640e-05,-1.080714064224173356e-02,1.130595490738575681e-02,-6.152183199842539956e-04,-2.464044662170962138e-04,2.291441310287338701e-04,-9.184534183505602047e-04,-4.584179916624480386e-04,-1.090917293774736231e-04,1.077245575942520486e-04
3.185050376134525296e-02,-2.225978124785190845e-02,2.873175345570472619e-02,-7.450220131443554194e-04,6.172254490015409607e-03,6.506984648709830676e-02,1.522064051964350413e-02,-3.157948796398067333e-04,1.707349302191425136e-04,2.262852158132919178e-03,2.849220701672586887e-05,-1.307314847023301717e-05,1.144565140778725052e-04,-9.112504694399157223e-01,9.999999999999998890e-01,3.908219402336395726e-02,3.551987211011228274e-01,1.431207165512084385e-03,-6.627187252088024270e-05,-2.606408511587920192e-03,4.121150555389705566e-02,8.372752974222451641e-03,4.892993524371743938e-04,2.285831149022470951e-06,8.238706072354384791e-03,-8.651605494642909677e-03,1.429857110686545956e-03,1.266102644304704765e-04,-2.287874470961668010e-04,6.744144658168550570e-04,2.887942880481374121e-04,1.515360751693364881e-04,-1.482229722649249740e-04
1.088006095042439239e-02,-9.362033960289461304e-03,1.541547633926779355e-02,2.686728375341190193e-03,4.993141673783455664e-03,-4.648723121439800494e-03,5.300192429118208426e-03,-2.057801160483009042e-04,3.098355938986994290e-04,2.672126422150273434e-03,4.040140151623427064e-05,-1.853605404150926407e-05,1.623061209103880394e-04,2.378588378916355051e-01,3.908219402336265275e-02,1.000000000000000000e+00,9.857689254970039561e-02,1.157790535833434385e-03,-5.360448720686499788e-05,-2.592795088697959303e-03,-5.759373181900055705e-03,-8.613258782771995165e-03,-1.139778450762299594e-03,7.157226841048432110e-05,-5.604056191665270081e-04,3.556839744442528029e-04,2.582875817134561939e-03,-1.986027636766891404e-04,-1.045504958834124780e-04,-2.291517602497559461e-04,-2.266433859901416012e-04,2.800272398797597944e-04,-2.705850008785284228e-04
2.127509384898762252e-03,-1.751717176584069707e-03,3.035541292888363843e-03,3.618129705663417441e-04,1.266271750042073391e-03,-8.113408745066679481e-04,2.067975121701083781e-03,4.389344009425201742e-05,4.929096595495211110e-05,4.012038771427204773e-04,4.673472709478921976e-06,-2.145128829581090310e-06,1.877029622702430610e-05,-1.899234464881922879e-01,3.551987211011219392e-01,9.857689254970035397e-02,1.000000000000000222e+00,2.936193831808118506e-04,-1.359593847439734161e-05,-7.350418498726633181e-04,-1.300059737320676196e-03,-2.495455515906594510e-03,1.516742238501939675e-04,1.195038343934533250e-05,-7.813651449872089901e-04,9.405022692636726264e-04,2.045323936251489463e-03,-7.167020064735982112e-05,-8.255628939338131573e-05,2.973562003350022938e-05,-8.773637750765710759e-05,4.458742186005779676e-05,-4.305669460872063500e-05
3.237797890248215581e-03,-3.450885916006436824e-03,-2.957206936808240774e-03,-1.446994449201408550e-03,2.318776046805778868e-01,5.269861301797906794e-04,-2.257198253745098908e-03,2.895455389806343090e-06,-1.742103282069999357e-04,-4.540403950191118860e-04,-1.375631218091424516e-07,6.323458319349572293e-08,-5.520307827144478644e-07,-1.416814154694772581e-03,1.431207165511926959e-03,1.157790535833448479e-03,2.936193831807647420e-04,1.000000000000000000e+00,-9.682054058696990539e-01,4.034768059107557165e-04,-1.367855390919543333e-03,3.633011377752112938e-05,1.689455704365145825e-04,2.255179491300788957e-05,3.186936771225564770e-04,-4.388094088966295204e-04,4.612929505839008472e-04,6.683754610810545896e-06,5.572007600039172534e-06,-1.817696275034888479e-05,-6.297816969998997925e-04,-1.527661166748053769e-04,1.506513589994173973e-04
-1.499144121484066727e-04,1.597828280867338911e-04,1.369501121540744068e-04,6.700197124254269438e-05,-1.073710731740869923e-02,-2.440522946673638131e-05,1.045217515563136675e-04,-1.336304995471023622e-07,8.068882789079666923e-06,2.102347594326444967e-05,7.966903782655740024e-09,-3.660842640540347173e-09,3.197732096737159818e-08,6.560723036455398129e-05,-6.627187252087352065e-05,-5.360448720679714715e-05,-1.359593847438762614e-05,-9.682054058696997201e-01,1.000000000000000000e+00,-1.868259321222670414e-05,6.333659532450215646e-05,-1.680731419028410757e-06,-7.824177058853032463e-06,-1.042221970467041921e-06,-1.475720973789170969e-05,2.031905159939549182e-05,-2.135914584328802142e-05,-3.092545937308702448e-07,-2.568992084554371384e-07,8.403239192756645154e-07,2.915986769308513075e-05,7.075825355195384928e-06,-6.977758961424532938e-06
-4.096735782388194469e-02,2.430067067563695601e-02,-5.349103014119538889e-03,6.644230574386260010e-03,1.740044949365746442e-03,-1.309090631090889800e-01,-2.240056546485121383e-02,1.041166076960058084e-02,6.060864877172910704e-04,4.351336875533120749e-03,4.964843712416393402e-06,-2.277897097967292343e-06,1.994366625307925563e-05,2.040014643280916966e-03,-2.606408511593837334e-03,-2.592795088694865423e-03,-7.350418498745586119e-04,4.034768059107018317e-04,-1.868259321222798825e-05,1.000000000000000222e+00,-5.061342062278719744e-01,4.204668022420069984e-01,5.174790606405778037e-01,-4.793401296327423405e-04,6.872621875020064330e-02,-5.877842487375779107e-02,-4.773371387257782650e-02,8.739369342846844968e-03,4.587769877184401726e-03,1.315573522254923078e-02,7.839167900003007200e-03,5.015959421209268158e-04,-5.146305655155208837e-04
