O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Fe CaO ,Fe KO0.5 ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Al $a$ ,Al $b$ ,Al Al ,Al SiO2 ,Ca $a$ ,Ca $b$ ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K K ,K SiO2 ,Mg $a$ ,Mg $b$ ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Th $a$ ,Th $b$ ,U $a$ ,U $b$
5.286437662800733506e+02,-3.348088972800516989e+06,5.532652109406731142e+02,1.876126080414794387e+03,-8.064173787324925797e+02,-1.489978955842408823e+03,1.011506123269296836e+03,2.773018306892132387e+04,-5.284647475546365058e+03,2.336918160789709687e+08,5.759582109803607464e+08,-1.378020540270057023e+08,4.775075175776344538e+07,1.786065688926321268e+08,-8.869753756646899774e+02,7.857323288949526846e+06,4.932809788736517476e+03,-4.252468938821285963e+07,-1.099708341712222591e+03,1.416370604012794793e+05,-2.253132641559502184e+08,2.533299205850772262e+08,9.433581772030611038e+08,4.008639151242751479e+08,-2.470865924635733336e+03,-6.770232974571905099e+06,-2.688738255268057110e+05,7.241142003670275211e+08,-1.092354762937614623e+03,7.082148314785244875e+06,-4.283459382218790799e+07,-6.840490849564130258e+02,7.230879071744290181e+06,1.680175076902779983e+04,-1.142658076267964589e+03,4.386188672011839117e+03,-9.086523638645680876e+02,-2.195229802303577960e+08,-1.747933907784797114e+01,4.305854620408193208e+06,-1.881956186795210670e+04,1.944795212230770858e+02,2.370833946725946134e+03,1.419512499959959996e+03,3.549904487573024653e+03,-6.010806472521849908e+06,3.945948747506301402e+02,-1.233966404713753582e+05
5.853330066047562923e+02,-4.700462138727211393e+06,-5.172710781492850174e+02,4.664641005808872251e+03,1.480282364884345952e+03,2.045302523601515304e+03,4.844809663816094144e+03,-5.726198466262018337e+04,-6.351510651628566848e+03,-3.185112318226003647e+07,-1.378020540269975364e+08,3.959177805137419105e+08,8.662381553091317415e+07,-3.705677527332300544e+08,4.541955381139437264e+01,6.948930380164509639e+06,-1.625764478589728424e+04,-2.124085315797754228e+08,-5.638467736576666312e+02,1.032209239283758029e+07,1.954460118308326602e+08,-3.766063046576672196e+08,-8.659436183190386295e+08,-2.705306196431764364e+08,1.534373186881435913e+01,6.129445408781618811e+06,8.260970301328094502e+04,-2.836969774635364413e+08,-2.161401170799028932e+02,4.668107508851956576e+06,-1.237865111610132754e+08,2.245687479296074400e+02,-8.127666771206879057e+06,-2.529358310812570926e+04,1.487302896486728287e+03,-7.084860359152491583e+03,5.455006729126570235e+02,2.376991689832762182e+08,-1.270281202858641791e+03,1.204072070853383280e+07,6.239046191962191187e+03,-1.377864514713783365e+03,-8.576338134554231146e+03,-3.579664288836876949e+03,-6.288602450929391125e+03,2.089409425392997265e+07,-1.675989091618190287e+03,6.299725465809726156e+06
6.101626567531922092e+02,-5.482475799042114057e+06,-5.866472692733848362e+02,4.197539376586259095e+03,1.021572691849170951e+03,1.260496756081200829e+03,1.806714141267573041e+03,2.619748544919811593e+03,2.605911749864035755e+03,4.911348971531951427e+07,4.775075175775984675e+07,8.662381553091078997e+07,1.670828741793546081e+08,-1.512580287719804049e+08,-2.912099011399844812e+02,7.438784475776449777e+06,-9.961952390688285959e+03,-5.068580243454203010e+07,-8.767529078365208761e+02,9.389641539751596749e+06,-9.435284680194650590e+07,-1.874164567884367704e+08,1.650568364930113554e+08,1.035317451886637062e+08,-3.262388163770389724e+02,3.083851573088362813e+06,9.318061132955119319e+03,-3.553189425284804404e+07,-5.240010616872666560e+02,5.837845220600008033e+06,-2.612534386698345095e+07,-1.068198623365250910e+02,2.493513823082360614e+05,3.154077083626121293e+03,-2.110723613894203652e+02,-1.056226865312210634e+02,7.005980224532974887e+01,-1.641536439231184125e+07,-1.299506184253988749e+03,1.221701923258849978e+07,-1.631524247665357143e+04,-7.493828093535206847e+01,-1.825280653598278150e+03,-5.894551219663474058e+02,-3.381007892821198766e+02,8.531355828837681562e+06,-1.484456790691917050e+00,3.594362412392993923e+06
6.176505476365642835e+02,-5.073273319640435511e+05,3.898427110602149241e+02,1.441177513285719215e+04,1.686295919159174218e+03,-3.405499914586440809e+03,-3.829870586104480935e+03,-8.377358425127493683e+05,-2.241608953708400077e+04,3.369896951557803433e+06,1.786065688926999271e+08,-3.705677527332288027e+08,-1.512580287719843090e+08,1.354074374242691994e+10,4.244276304345003155e+03,-1.814752707152108848e+07,-1.768012952176799445e+04,1.162447018535743356e+08,5.204690061305452218e+03,-6.721569214575107396e+07,1.983204143782696009e+09,2.511052944903731823e+09,8.002730797733002663e+09,5.422216244669667244e+09,-2.019407555634339815e+02,2.541746853860552888e+06,-5.443748449097232879e+03,-2.429896354591596127e+08,1.224469263768909968e+03,-2.892747025010988582e+06,-1.973431333505425155e+08,1.943230693526135383e+03,-6.578845544546502642e+06,-1.521436695338957179e+04,6.560698636173454361e+03,2.323053461180209069e+03,1.523652780586947983e+03,4.587975111980185658e+07,1.770434419707340112e+03,-4.010012277260306757e+06,-1.317128173605625634e+05,3.027549647261493192e+03,-7.254406381170586974e+04,2.575967002121971632e+02,-7.000067022307294246e+04,1.048686998123143464e+08,-4.220204616937259743e+03,1.315019225236438680e+06
-1.515570514382100003e-03,1.357617671687566485e+01,-8.909304318640030862e-03,9.478343119435511666e-01,-1.241790758675012348e-03,1.153188028830079252e-02,-8.705552350979236208e-04,-3.391664224412714312e-01,9.001430179122450748e-03,-6.030431586666557450e+03,-8.869753756633397188e+02,4.541955380996523672e+01,-2.912099011397676804e+02,4.244276304342995900e+03,3.937779382633698755e-01,-1.352084427963685584e+03,1.075640647418015794e+00,9.192445411270902014e+02,-1.408660861659828158e-02,2.271887185562464708e+02,-1.911576591964467070e+03,-7.671008072155462287e+03,-6.732780808616907052e+03,-4.647756909424700098e+03,2.092094034465125704e-03,1.106627901015771975e+01,7.248397450053115088e-02,-1.314631237610623657e+03,6.127543029194542669e-03,-4.109383060557240697e+01,9.078859439518396357e+00,3.857246006981128288e-03,-2.043667144481963049e+01,-5.039781287288103151e-02,1.082321630980054468e-02,-5.692807331084125642e-03,5.008067994748396229e-03,4.913279673264394205e+02,4.620682015879954557e-03,-2.619773938685048265e+01,-9.672391074772869468e-02,1.276673255718810147e-03,-2.572579642014419590e-02,-5.771310190600174948e-04,-2.964516239767003153e-02,3.866725919002826117e+01,-8.235891308633174748e-04,-4.834451347409376432e+00
3.880813454753355529e+01,-4.320157266577529372e+05,-2.542199612932763486e+01,-9.565598282493508577e+02,1.259780650939105442e+02,5.373717288353626742e+01,2.126467014646452753e+02,4.135487510382724281e+02,-1.275576827807768154e+02,3.687727387737537920e+07,7.857323288944192231e+06,6.948930380167913623e+06,7.438784475775298662e+06,-1.814752707151549682e+07,-1.352084427963487087e+03,5.958316998149011284e+06,-8.073376716251223115e+03,-3.621657307743806392e+07,4.685792936853268742e+01,-9.289406050760701764e+05,2.801105793901598081e+06,3.560072086785594374e+07,4.236921188174739480e+07,3.251436050541860610e+07,-3.552079933945239532e+01,1.126507817504221603e+05,1.112065092737367877e+03,1.380307600269129965e+06,-8.128713894952247188e+01,7.938336498706212733e+05,-1.380302767838501744e+07,-3.750818974687075524e+01,1.618469120211038680e+05,1.418646689169968909e+02,-7.887797416567615016e+01,2.696001874286453059e+01,-1.657906758867826369e+01,-1.021886113466362283e+07,-9.967757598772018923e+01,1.142524372883260716e+06,9.679002055581310060e+02,-5.235138403640879545e+01,-9.179573644474332639e+01,-5.646502842856590831e+01,1.512028782584607001e+01,5.170373013510791934e+05,-2.264734178587083235e+01,2.194588277592400555e+05
-3.735044711481378538e-02,5.126091262514755726e+02,3.112712815140916689e-01,-4.808273990367337092e+01,-1.381836792380927437e-01,-8.425206451029883248e-02,-3.817838122848946636e-01,4.599105342582604727e+00,2.584552773990978630e-02,-5.722949585072608897e+04,4.932809788744978505e+03,-1.625764478589882856e+04,-9.961952390687889419e+03,-1.768012952178429623e+04,1.075640647417815288e+00,-8.073376716251386824e+03,1.056200664657327025e+03,7.716329441425595724e+04,-2.159184368367835227e-01,2.795501349764522729e+03,-2.039964002347479618e+04,-9.722242135151030379e+04,-7.784579148169061227e+04,-6.762703027295769425e+04,-2.298374256818177044e-02,-2.191725993157196228e+02,-1.579600366142102708e+01,9.444045904265289209e+03,8.146802859030394250e-02,-8.783032065642814814e+02,1.485917715934890293e+04,3.227283996744956945e-02,-6.744222941117124037e+01,2.454764412321888134e+00,1.924055185565828607e-01,7.781840900953784779e-02,-5.574342554435204877e-02,8.978315204134623855e+03,2.731686634426078730e-01,-1.705807860998002980e+03,-7.967973323119522888e+00,1.083737029730808682e-01,6.089689536958701188e-01,1.421160739642856607e-01,4.317783501858391548e-01,-1.519985667648838671e+03,5.653787111025841000e-02,-3.518863361242457586e+02
-5.445562287092633369e+02,8.533847147721525282e+06,1.430146770888273522e+03,-2.004238278380388510e+04,-3.040032735999596298e+03,-6.478806190045638687e+02,-6.071049881667003319e+03,3.321254982878915325e+04,6.214500416064304773e+03,4.166666215603276491e+08,-4.252468938819760084e+07,-2.124085315797022283e+08,-5.068580243452798575e+07,1.162447018536595553e+08,9.192445411286258832e+02,-3.621657307744381577e+07,7.716329441426463018e+04,1.464672637793963671e+09,1.632483838302751792e+03,-2.323513685366331786e+07,6.191077747263227701e+08,7.153359784087821245e+08,9.122217006971132755e+08,5.404695860749602318e+08,6.089035637591122168e+02,-2.913243966808060650e+06,-3.337263857431538054e+04,1.913816594337638319e+08,1.124624043181354409e+03,-1.501195162763686664e+07,5.508702784008221626e+08,8.355946141584156521e+02,-3.091968114656631369e+06,1.507808819858287461e+04,1.416473275607320375e+03,1.807984700006468870e+01,-3.350470347007307481e+01,3.383363406068718433e+08,2.283478090406979845e+03,-2.951703895350492746e+07,-6.794686205389216775e+04,2.096134180510621263e+03,5.045375570386508116e+03,1.950216940620683772e+03,3.303078293367996139e+03,-1.687976529273090139e+07,1.079751817731324991e+03,-3.887224967756313737e+06
-2.624961742793793795e-03,4.444248342818790576e+01,2.758964667891471503e-02,-1.827733692972556209e-02,2.335446528177517744e-02,2.836869690884540052e-02,-1.269352756988654379e-02,-5.062400852943191865e-01,-5.457890002245197048e-03,3.275749541930017222e+04,-1.099708341712431320e+03,-5.638467736578236327e+02,-8.767529078367387001e+02,5.204690061307759606e+03,-1.408660861648935829e-02,4.685792936806895170e+01,-2.159184368364283346e-01,1.632483838305709241e+03,7.886200176035886855e-01,-4.347507525809181061e+03,2.134085465286800536e+04,5.875787765651765949e+04,3.764746949474206485e+04,3.392614924360813893e+04,1.662288723460777704e-02,-3.507264067588285883e+01,2.518876458073719959e+00,1.419924228158312872e+03,-1.039280185507191791e-02,4.226644593938887340e+01,2.297357148941141986e+03,8.951655734730261859e-04,-7.085544504348985084e-01,2.170841380482200697e-02,-9.816734066002610198e-03,3.194227525124538909e-03,1.462783038907525908e-03,1.221200219922891620e+03,4.429080025277485136e-03,-1.547460981597544389e+02,3.085256598202127942e-01,1.964807173591309568e-03,-1.174420725574756505e-02,3.390946399718497168e-03,-3.980877153327355700e-02,1.412922145520713713e+01,-1.201306383096137353e-03,-1.736724479670523991e+01
1.954653974675937178e+01,-4.704625682341649663e+05,-3.873764037938764773e+02,1.747044225127516199e+02,-3.276752192626938154e+02,-3.649341596215142545e+02,1.331942869418767543e+02,3.905099321371023507e+03,1.831975636495584183e+02,-4.701362015218880773e+08,1.416370604041785700e+05,1.032209239283591695e+07,9.389641539752261713e+06,-6.721569214577265084e+07,2.271887185556039697e+02,-9.289406050732576987e+05,2.795501349762419977e+03,-2.323513685368515924e+07,-4.347507525809202889e+03,3.497035013554967195e+07,-3.170492133818660975e+08,-8.155148350310747623e+08,-5.941972323340997696e+08,-4.869693101147109866e+08,-1.646894899655877680e+02,5.908891547099546297e+05,-2.843392174778211847e+04,-3.577755142572413385e+07,1.851884722852644245e+02,-8.859553491875539767e+05,-2.972802172043773904e+07,-1.263037693790450788e+01,-8.001402583591196162e+04,-2.278222777707863997e+02,1.028706624581334381e+02,-1.142397768972037255e+02,2.727443847362279516e+00,-1.216538832569995895e+07,-5.462080171796711880e+01,1.891877083313408308e+06,-3.451149528385103622e+03,-3.682375064592680047e+01,1.165200817557795858e+02,-7.899305706066492405e+01,2.590284478404471429e+02,3.348297998829231947e+05,5.306736500453722805e+00,2.091061050117515551e+05
