O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Fe CaO ,Fe KO0.5 ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Al $a$ ,Al $b$ ,Al Al ,Al SiO2 ,Ca $a$ ,Ca $b$ ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K K ,K SiO2 ,Mg $a$ ,Mg $b$ ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Th $a$ ,Th $b$ ,U $a$ ,U $b$
9.775175450300006841e-02,-1.964139436555958074e-01,2.277909176545088454e-02,2.116578856125720526e-02,-1.280714566629849623e-02,-3.256062788331578334e-02,3.984352491277871888e-02,6.110597502818988780e-02,-4.212999972205640209e-02,9.519909995361650057e-02,9.999999999999997780e-01,-2.885743332766809721e-01,1.539284008283262895e-01,6.395590974405561402e-02,-5.889662186235142260e-02,1.341273465350067140e-01,6.324492238699189889e-03,-4.629940169501198938e-02,-5.159981374868585768e-02,9.980020360242374163e-04,-8.131485860645924768e-02,6.444744202780494646e-02,1.513537515732754635e-01,8.239277694935129293e-02,-4.684283978012164784e-01,-3.818464112210269157e-01,-1.171184687115418843e-01,7.703177846366768833e-01,-9.007057745521772352e-02,1.441480763332899928e-01,-8.282463112829673013e-02,-6.436027076772707356e-02,2.686854423563143635e-01,4.784930195394893754e-02,-4.256335274492197007e-02,2.231523965669207354e-01,-1.862291143764391657e-02,-3.543482487787977808e-01,-2.057374218962202371e-03,1.280176840814644945e-01,-6.050637633457370268e-02,3.898768910613001348e-02,7.093769111109604619e-02,6.085777751659171564e-02,9.885043204072992140e-02,-7.599357131700959500e-02,2.440126666688538504e-02,-3.371528125786166143e-03
1.305441587898787115e-01,-3.325897555498497082e-01,-2.568704945753146410e-02,6.347221326222129978e-02,2.835502404221921374e-02,5.390923569310310248e-02,2.301754180137464412e-01,-1.521914734745599129e-01,-6.107246494923650182e-02,-1.564973811672541737e-02,-2.885743332766638747e-01,1.000000000000000222e+00,3.367974831677005287e-01,-1.600456450148508014e-01,3.637597728825278567e-03,1.430716727937151045e-01,-2.514096301078459772e-02,-2.789325321047343431e-01,-3.190984527158973599e-02,8.772335816767271033e-02,8.507519410633421209e-02,-1.155579337077465713e-01,-1.675711197602372526e-01,-6.706587387780212073e-02,3.508472041799107037e-03,4.169646764470307798e-01,4.340111669705112862e-02,-3.640076853499231158e-01,-2.149550273127301056e-02,1.145981659005598646e-01,-2.886896167977360816e-01,2.548431108252925334e-02,-3.642603591951428799e-01,-8.688091944894439644e-02,6.682084209003512354e-02,-4.347489333900801944e-01,1.348460072977676963e-02,4.627761280274405031e-01,-1.803354640287021526e-01,4.317735858682825167e-01,2.419372949977787249e-02,-3.331602022579909783e-01,-3.095072247877921345e-01,-1.851024427619438750e-01,-2.112073502823162419e-01,3.186109097667348955e-01,-1.250043432136235255e-01,2.076051194246800735e-01
2.094771171071694860e-01,-5.971474288480718151e-01,-4.484454408379039830e-02,8.792183221832340634e-02,3.012251740838480657e-02,5.114272766186234859e-02,1.321320578918221134e-01,1.071815584824401153e-02,3.857133376273290393e-02,3.714664973693275474e-02,1.539284008283146876e-01,3.367974831676913139e-01,1.000000000000000222e+00,-1.005613761656425076e-01,-3.590165570992429056e-02,2.357622159237198201e-01,-2.371402508384615193e-02,-1.024589907229991048e-01,-7.637959441926539528e-02,1.228380896726529448e-01,-6.322191962714694691e-02,-8.852306428203012001e-02,4.916766764356768349e-02,3.950892651636003783e-02,-1.148310105108633072e-01,3.229297712642493212e-01,7.535844578047185514e-03,-7.017957592451490312e-02,-8.021968007683870361e-02,2.206103726093447126e-01,-9.378996872130011819e-02,-1.866002101414044809e-02,1.720260971912823331e-02,1.667719049596792791e-02,-1.459756520773560461e-02,-9.977023022354271006e-03,2.665926935592712564e-03,-4.919606275300853621e-02,-2.839854928509335519e-01,6.743810832531862420e-01,-9.739007194532155187e-02,-2.789246277681074054e-02,-1.013993289351728944e-01,-4.691990575097530758e-02,-1.747984617527111387e-02,2.002588342014369749e-01,-1.704346959142867969e-04,1.823370118637628601e-01
2.355475025815951390e-02,-6.138154461089406072e-03,3.310294918221045723e-03,3.353236133089433635e-02,5.523323583971176225e-03,-1.534856358167734428e-02,-3.111340651919572431e-02,-3.807257633411789133e-01,-3.685611160530440772e-02,2.831262827465851235e-04,6.395590974407990015e-02,-1.600456450148502741e-01,-1.005613761656451027e-01,1.000000000000000000e+00,5.812416125117857851e-02,-6.389022106014066726e-02,-4.675100641753766190e-03,2.610247113411031175e-02,5.036626133135033850e-02,-9.767859973444421862e-02,1.476130658717582922e-01,1.317495967960909953e-01,2.648067232183105579e-01,2.298493277632458476e-01,-7.895729107541011454e-03,2.956593526244063325e-02,-4.890453515119365466e-04,-5.331198304390399878e-02,2.082290683096298806e-02,-1.214307050398503486e-02,-7.869753043991663255e-02,3.770762550938160096e-02,-5.041699487514660766e-02,-8.936123915053195352e-03,5.040154543852909397e-02,2.437517140563138368e-02,6.440358653586159346e-03,1.527374661443849091e-02,4.297761962972863198e-02,-2.458841494178368170e-02,-8.733612173334652506e-02,1.251754377056373269e-01,-4.476638441645531263e-01,2.277673085318451980e-03,-4.020113634077346343e-01,2.734413693433509485e-01,-5.382309491108178134e-02,7.410197455802155879e-03
-1.071784296914873001e-02,3.045948836900043769e-02,-1.402867427003268858e-02,4.089541837648574263e-01,-7.542419624476043652e-04,9.637903163916246643e-03,-1.311460954194373007e-03,-2.858338036717517072e-02,2.744459005709200781e-03,-9.395232467065060822e-02,-5.889662186226176516e-02,3.637597728710821078e-03,-3.590165570989756194e-02,5.812416125115109355e-02,1.000000000000000000e+00,-8.827064867179593710e-01,5.274342119405086432e-02,3.827675258409155706e-02,-2.527824155651882745e-02,6.122250300851368038e-02,-2.638424385426401883e-02,-7.463481040852572301e-02,-4.131243983572358697e-02,-3.653468594736637709e-02,1.516858373296858624e-02,2.387022495760360297e-02,1.207504212992279282e-03,-5.348556705100753622e-02,1.932303794577851924e-02,-3.198823342858971019e-02,6.713762071534720060e-04,1.387962495276690716e-02,-2.904243310109589846e-02,-5.489117843093273101e-03,1.541862590984001934e-02,-1.107670344941799091e-02,3.925453439927345176e-03,3.033133900787284010e-02,2.080003976485840164e-02,-2.978819703692404605e-02,-1.189310573533855671e-02,9.788207670358152826e-03,-2.943842270577691142e-02,-9.462830926840003600e-04,-3.157079614526046157e-02,1.869637005608927940e-02,-1.947786422492615941e-03,-5.051733615666549951e-03
7.055339188295792208e-02,-2.491773520096707550e-01,-1.029073451095841377e-02,-1.061007015181227447e-01,1.967075769822506162e-02,1.154572303930177790e-02,8.235340716542743911e-02,8.959656082920139375e-03,-9.998060028982550321e-03,1.477004545968403082e-01,1.341273465349156480e-01,1.430716727937851873e-01,2.357622159236833492e-01,-6.389022106012097468e-02,-8.827064867178298080e-01,1.000000000000000222e+00,-1.017700990096456065e-01,-3.876816693932896296e-01,2.161660031003028240e-02,-6.435409005910636138e-02,9.939083704899034574e-03,8.904543789715968494e-02,6.683449055487514223e-02,6.570540216752950025e-02,-6.620799715806890973e-02,6.246733723858181875e-02,4.762563204000613316e-03,1.443684933435343022e-02,-6.589838373196088561e-02,1.588572434744015272e-01,-2.624054800829845324e-01,-3.469687688437353423e-02,5.912772102084270370e-02,3.972180742193708036e-03,-2.888743420055326153e-02,1.348553314186752908e-02,-3.340747128196710439e-03,-1.621759619900397520e-01,-1.153504886568935406e-01,3.339717725756022881e-01,3.059538357169454964e-02,-1.031847389739506959e-01,-2.700424917627814586e-02,-2.380072040631499644e-02,4.139573960382422584e-03,6.426872287895940561e-02,-1.376929960701790516e-02,5.895358101110583643e-02
-5.100109722724853294e-03,2.220669500289608814e-02,9.463774070741776470e-03,-4.005750620183283206e-01,-1.620583793080900741e-03,-1.359613464613868396e-03,-1.110526728921003466e-02,7.483875732256148154e-03,1.521539066081506453e-04,-1.721597121063300068e-02,6.324492238710037982e-03,-2.514096301078698470e-02,-2.371402508384520824e-02,-4.675100641758076978e-03,5.274342119404103191e-02,-1.017700990096476743e-01,1.000000000000000000e+00,6.203935282534348700e-02,-7.481395445132411025e-03,1.454576268462987737e-02,-5.436606806094365814e-03,-1.826450470043973831e-02,-9.223037602098175039e-03,-1.026442822038977666e-02,-3.217637042280408963e-03,-9.128378230412506275e-03,-5.080966759144563312e-03,7.418963227901608816e-03,4.960537263050289990e-03,-1.320111367034279559e-02,2.121689791225548835e-02,2.242281064749836617e-03,-1.850577276106471188e-03,5.162417871351735431e-03,5.292481271155840758e-03,2.923606122296079114e-03,-8.436566603838883353e-04,1.070206089483457038e-02,2.374331928664468946e-02,-3.745096252870278725e-02,-1.891741433105574230e-02,1.604352514322645099e-02,1.345529837326623485e-02,4.499272914243779981e-03,8.878611129525173368e-03,-1.419076705143356223e-02,2.581800325850325435e-03,-7.099832830379002903e-03
-6.314360578575937966e-02,3.139390847163767151e-01,3.692400949746253713e-02,-1.417904522835491954e-01,-3.027582133817557572e-02,-8.878361572282882086e-03,-1.499609699768311988e-01,4.589425912092640752e-02,3.106753945257078112e-02,1.064396046878311047e-01,-4.629940169499537767e-02,-2.789325321046382533e-01,-1.024589907229707109e-01,2.610247113412944922e-02,3.827675258415549897e-02,-3.876816693933511915e-01,6.203935282535046059e-02,1.000000000000000000e+00,4.803355252628289940e-02,-1.026656025229411573e-01,1.401117677818239926e-01,1.141180834128093374e-01,9.177875753055050878e-02,6.966082914384293112e-02,7.238819610427212059e-02,-1.030355652796920291e-01,-9.115754217235996770e-03,1.276698591096842583e-01,5.815027959909577909e-02,-1.916047153205561737e-01,6.679429975659448848e-01,4.930051217873872293e-02,-7.204655969227034829e-02,2.692728397474409771e-02,3.308667494108892548e-02,5.768118848979055923e-04,-4.306067156039184514e-04,3.424712755533269593e-01,1.685428517617020283e-01,-5.503115082619601806e-01,-1.369891728360822791e-01,2.635104849589643972e-01,9.466612812645133768e-02,5.243062013386916298e-02,5.767743977094017677e-02,-1.338245265867296363e-01,4.187068613313237736e-02,-6.660216232998426855e-02
-1.311734716026461030e-02,7.045879848215391705e-02,3.069804856716959809e-02,-5.572459736535011025e-03,1.002360600459387650e-02,1.675381102471749581e-02,-1.351242063618220135e-02,-3.014734430305649956e-02,-1.175876745394714663e-03,3.606298045587515988e-01,-5.159981374869564846e-02,-3.190984527159861778e-02,-7.637959441928438009e-02,5.036626133137266786e-02,-2.527824155632336575e-02,2.161660030981634936e-02,-7.481395445120104029e-03,4.803355252636991313e-02,1.000000000000000000e+00,-8.278591511610416953e-01,2.081404784395260998e-01,4.039679280990544630e-01,1.632352507232792127e-01,1.884466119096361858e-01,8.516518281551622993e-02,-5.345830126029701979e-02,2.965140762930534510e-02,4.082156200856369016e-02,-2.315866264887443682e-02,2.324883274192626054e-02,1.200480091526077986e-01,2.276122105301994335e-03,-7.115212203248160155e-04,1.670747224910810232e-03,-9.882075136709729188e-03,4.391791187014636340e-03,8.101982894792538652e-04,5.327197073654441756e-02,1.408845606979083377e-02,-1.243345708736264404e-01,2.680677160905444931e-02,1.064474204030145012e-02,-9.496448282331980059e-03,3.928795111117548873e-03,-2.995727237496517703e-02,4.827518314918184672e-03,-2.007595920211577116e-03,-1.282377724594562819e-02
1.466820021742439722e-02,-1.120071886920331328e-01,-6.472643700702070124e-02,7.998744569416876837e-03,-2.111939952811138499e-02,-3.236477934933550127e-02,2.129218989222079333e-02,3.492275702295868228e-02,5.927077755249626073e-03,-7.772460607727278425e-01,9.980020360446650862e-04,8.772335816765856886e-02,1.228380896726616323e-01,-9.767859973447558242e-02,6.122250300834054110e-02,-6.435409005891153111e-02,1.454576268461893647e-02,-1.026656025230376634e-01,-8.278591511610458031e-01,1.000000000000000000e+00,-4.643605624566607415e-01,-8.419698883337318751e-01,-3.868946222407053104e-01,-4.061993884942507460e-01,-1.267084028819316366e-01,1.352497948930376503e-01,-5.026423992420778197e-02,-1.544610460538657082e-01,6.196959903372107475e-02,-7.318147605853378423e-02,-2.332793860335403147e-01,-4.822723959133691854e-03,-1.206603711492181159e-02,-2.633072119646179005e-03,1.555093728927345494e-02,-2.358723801199280601e-02,2.268564501782417415e-04,-7.969329322393402248e-02,-2.609106779230576864e-02,2.282700936400944292e-01,-4.502989236283557600e-02,-2.995898774698029302e-02,1.414888410435515866e-02,-1.374394109648499965e-02,2.927216627575400174e-02,1.717962616763050315e-02,1.331784486210876384e-03,2.318652473883054885e-02
